vendor_key,kind,url,label,source_sheet,source_rows,source_checksum
ven_e1cb5f98a77d,CATALOG,https://drive.google.com/drive/folders/1fH-nf_50FPRMiywyrYDXcsrr9XO3bB02?usp=drive_link,Drive/folder katalog,List,271,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_93f0a7352557,WEBSITE,https://www.moderndekorindo.com/,Website,List,272;273;274;275,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_93f0a7352557,INSTAGRAM,https://www.instagram.com/moderndekorindo/?hl=en,Instagram,List,272;273;274;275,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_93f0a7352557,CATALOG,https://drive.google.com/drive/folders/1CgYxsXQcd_zkJipJN5m2EeJluPNANPBK?usp=drive_link,Drive/folder katalog,List,272;273;274;275,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_4a00b877582f,WEBSITE,https://moirerugs.com/,Website,List,276,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_4a00b877582f,INSTAGRAM,https://www.instagram.com/moirerugs/,Instagram,List,276,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_fb51f42e8cbf,INSTAGRAM,https://www.instagram.com/mokattisartliving/,Instagram,List,277,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_405dc7565658,INSTAGRAM,https://www.instagram.com/monolith_idn/?hl=en,Instagram,List,278;279,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_b8c335bebae9,INSTAGRAM,https://www.instagram.com/monoliving.id/,Instagram,List,280,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_b8c335bebae9,CATALOG,https://drive.google.com/drive/folders/1FKWSqMrSJafjt4IfGxnC4eFtFIsocTsh?usp=drive_link,Drive/folder katalog,List,280,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_b6c4c02bb6a9,WEBSITE,https://monostar.co.id/,Website,List,281,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_b6c4c02bb6a9,INSTAGRAM,https://www.instagram.com/monostar.official/,Instagram,List,281,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_b6c4c02bb6a9,CATALOG,https://drive.google.com/drive/folders/1Eo4HEz82AvWd7N_i1Q0JUiDJRtc2Kjoj?usp=drive_link,Drive/folder katalog,List,281,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_174cb7087739,WEBSITE,https://www.moonliving.id/?fbclid=PAZXh0bgNhZW0CMTEAAaYgtXTCWR-U1eSZpDPmWpuLkR-uMnwTmXlXZurARBr15hTFGpldiLd34pM_aem_2O2au-iUP3UiTk090vHBwA#_,Website,List,282,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_174cb7087739,INSTAGRAM,https://www.instagram.com/moonliving.id/?hl=en,Instagram,List,282,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_174cb7087739,CATALOG,https://drive.google.com/drive/folders/1vsVDuLr-8ktsjXATVvBbU2nLts-btMzb?usp=drive_link,Drive/folder katalog,List,282,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_eb26d4fa531a,WEBSITE,https://morgen.co.id/,Website,List,283,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_eb26d4fa531a,INSTAGRAM,https://www.instagram.com/morgen_idn/%20,Instagram,List,283,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_7499cd17353b,WEBSITE,https://www.morsealam.com/,Website,List,284,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_7499cd17353b,INSTAGRAM,https://www.instagram.com/morsealam/,Instagram,List,284,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_7499cd17353b,CATALOG,https://www.instagram.com/catalog.morsealam?igsh=MWRmc2V6bmN0aHd0eg==,Product website/katalog,List,284,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_c3382a83fb26,INSTAGRAM,https://www.instagram.com/mosaicmassofficial/?hl=en,Instagram,List,285,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_c3382a83fb26,CATALOG,https://onedrive.live.com/?redeem=aHR0cHM6Ly8xZHJ2Lm1zL2IvcyFBdXctTnNMQmhOUWxnZVotUHBfUEoxTFZJS3JoeUE%5FZT0zQ2xMTEw&cid=25D484C1C2363EEC&id=25D484C1C2363EEC%2129566&parId=25D484C1C2363EEC%2129565&o=OneUp,Drive/folder katalog,List,285,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_6ff3920f8bef,WEBSITE,https://mosaicart.id/,Website,List,286,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_6ff3920f8bef,INSTAGRAM,https://www.instagram.com/mosaicart.id,Instagram,List,286,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_6ff3920f8bef,CATALOG,https://drive.google.com/drive/folders/1eOU8iMr0J1LrwPkNn0lZFChwD9YBItt8?usp=drive_link,Drive/folder katalog,List,286,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_c9d7d1a3b254,WEBSITE,https://www.mozzatile.com/,Website,List,287,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_c9d7d1a3b254,INSTAGRAM,https://www.instagram.com/mozzatile/,Instagram,List,287,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_c9d7d1a3b254,CATALOG,https://drive.google.com/drive/folders/19TsCUSuC7kIM19KQ2MxbPhtfKjqUrJaI?usp=drive_link,Drive/folder katalog,List,287,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_5ef835f52085,WEBSITE,https://mukasurfaces.com/?fbclid=PARlRTSAN2Yj1leHRuA2FlbQIxMAABp5MEk2MJGGgH8BmyfeCNhvnzfXWQBxscBGE94G-25qs9IrSYOif3q6RuitCn_aem_d_38_UIbxFwwYn0-llxuNg,Website,List,288,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_5ef835f52085,INSTAGRAM,https://www.instagram.com/muka_surface?igsh=dzd2emo2ZnFoaGdq,Instagram,List,288,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_5ef835f52085,CATALOG,https://mukasurfaces.com/products,Product website/katalog,List,288,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_da13c0600738,WEBSITE,https://www.muropaint.com/?fbclid=PAZXh0bgNhZW0CMTEAAaYro870CU_x8CAQZhdYe5Mf8T7JWj15AG13om221nI2XQRXR7r51NLqByo_aem_XNrR4xAV3GqCLmEEQVWABQ,Website,List,289,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_da13c0600738,INSTAGRAM,https://www.instagram.com/muropaint/,Instagram,List,289,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_0c5bf46ade9b,WEBSITE,https://murova-aluminium.com/,Website,List,290,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_0c5bf46ade9b,INSTAGRAM,https://www.instagram.com/murova_aluminium/,Instagram,List,290,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_5dd07ebf9483,INSTAGRAM,https://www.instagram.com/naura_artificial?igsh=NGc1ZmtrYmZ3b3Fo,Instagram,List,291,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_f383a44b528d,WEBSITE,https://newwicker.com/,Website,List,292,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_f383a44b528d,INSTAGRAM,https://www.instagram.com/newwickermanufacturer/,Instagram,List,292,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_92bad59e18e2,WEBSITE,https://www.ykkap.co.id/,Website,List,293,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_92bad59e18e2,INSTAGRAM,https://www.instagram.com/ykkapi_official/,Instagram,List,293,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_92bad59e18e2,CATALOG,https://online.fliphtml5.com/imiiz/tmru/#p=H1,Product website/katalog,List,293,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_92bad59e18e2,CATALOG,https://online.fliphtml5.com/imiiz/skkl/,Product website/katalog,List,293,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_92bad59e18e2,CATALOG,https://online.fliphtml5.com/imiiz/cruv/#p=1,Product website/katalog,List,293,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_92bad59e18e2,CATALOG,https://online.fliphtml5.com/imiiz/kulc/,Product website/katalog,List,293,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_92bad59e18e2,CATALOG,https://online.fliphtml5.com/imiiz/btbo/,Product website/katalog,List,293,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_de24dac85f38,WEBSITE,https://www.nobelcarpets.com/,Website,List,294,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_de24dac85f38,INSTAGRAM,https://www.instagram.com/nobel.carpets,Instagram,List,294,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_de24dac85f38,CATALOG,https://drive.google.com/drive/folders/1GMeZ3gRR_HQrJ50gdolXZnQlF5rmFW37?usp=sharing,Drive/folder katalog,List,294,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
