vendor_row_id,canonical_brand_name,source_brand_variants,company_name,company_pt,website_url,instagram_url,address,action,matched_existing_hint,source_sheet,source_rows,source_checksum
v0014,Amardeep Interior,Amardeep Interior,,,https://amardeepinterior.com/about-us/,https://www.instagram.com/amardeepinterior/,Jakarta,INSERT_NEW,,List,16,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0015,Amidoorlight,Amidoorlight,,PT AMI (Aera Mitra Indonesia),,https://www.instagram.com/amidoorlight/,Jakarta,INSERT_NEW,,List,17,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0016,Antikmebel,Antikmebel,,,https://antikmebel.com/?srsltid=AfmBOooFJnnB5Zsy6bzqsV93-KVK26Nf0ir1TwXmLSiCbuK9_EdOqidO,https://www.instagram.com/antikmebel/,Jakarta,INSERT_NEW,,List,18,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0017,Architech Indonesia,Architech Indonesia,,,https://architech.co.id/public/?utm_medium=google&utm_source=https%3A%2F%2Fanalytics.google.com%2Fanalytics%2Fweb%2Fprovision%2F%23%2Fp444544963%2Freports%2Fexplorer%3Fparams%3D_u..nav%253dmaui%26r%3Decomm-product%26ruid%3Decomm-product%2Cbusiness-objectives%2Cdrive-online-sales%26collectionid%3Dbusiness-objectives&utm_campaign=website,https://www.instagram.com/architech_indonesia,Jakarta,INSERT_NEW,,List,19,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0018,Arcomarmer,Arcomarmer,,PT Arcobaleno Gramarindo,https://www.arcomarmer.com/,https://www.instagram.com/arcomarmer/?hl=en,Jakarta,INSERT_NEW,,List,20;21,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0019,Arde,Arde,,,https://ardefabrics.com/,https://www.instagram.com/ardefabrics,Jakarta,INSERT_NEW,,List,22,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0020,Ardente lightning,Ardente lightning,,,https://www.ardentelighting.com/,https://www.instagram.com/ardentelighting/,Jakarta,INSERT_NEW,,List,23,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0021,Armonia Paint,Armonia Paint,,,https://armoniapaint.com/index,https://www.instagram.com/armonia.paint/,"Jakarta, Bali",INSERT_NEW,,List,24,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0022,Arna,Arna,,,https://arna.co.id/,https://www.instagram.com/arna.granite?igsh=MXZxZWh2c29nbjZubg==,Jakarta,INSERT_NEW,,List,25,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0023,Artemi Zenith,Artemi Zenith,,PT Artemi Zenith International,https://artemigroup.com,https://www.instagram.com/artemi.zenithinternational/,"Jakarta, Surabaya",INSERT_NEW,,List,26;27,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0024,Artisanwood,Artisanwood,,,,https://www.instagram.com/artisanwood.id?igsh=MWx3c2JmdmloMm55ZQ==,"Jakarta, Surabaya",INSERT_NEW,,List,28,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0025,Arturo Paint,Arturo Paint,,PT Sapta Kurnia Kimia Abadi,http://arturoflakesmulticolor.com,https://www.instagram.com/arturo_texturepaint/?hl=en,"Jakarta, Bandung",INSERT_NEW,,List,29,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0026,Arwana Ceramics,Arwana Ceramics,,,,,,INSERT_NEW,,List,483,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0027,Ashetiles,Ashetiles,,,,https://www.instagram.com/ashetiles/?hl=en,Tangerang,INSERT_NEW,,List,30,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0028,Astana ID,Astana ID,,,,https://www.instagram.com/astana_id/?hl=en,Jakarta,INSERT_NEW,,List,31,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0029,Ataya,Ataya,,,,https://www.instagram.com/atayahome/,Malang,INSERT_NEW,,List,32,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0030,Ateja,Ateja,,,https://ateja.co.id/,https://www.instagram.com/atejatextiles/?hl=en,Bandung,INSERT_NEW,,List,33,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0031,Ateson Home,Ateson Home,,,https://atesonhome.com/,https://www.instagram.com/atesonhome/?hl=en,"Jakarta, Bandung, Bali",INSERT_NEW,,List,34;35;36,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0032,Atipa,Atipa,,PT Adiwarna Pratama Indonesia,https://atipaindonesia.com,https://www.instagram.com/atipamcm/?hl=en,Jakarta,INSERT_NEW,,List,37,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0033,Avere,Avere,,,,https://www.instagram.com/at.avere/,Jakarta,INSERT_NEW,,List,38,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0034,Balian Decorative,Balian Decorative,,PT Mega Kapuas Dinamik,https://baliandecorative.id,https://www.instagram.com/baliandecorative/,Jakarta,INSERT_NEW,,List,39;40;41;42,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0035,Bambusa Bali,Bambusa Bali,,,https://bamboo-interior.com/,,Bali,INSERT_NEW,,List,43,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0036,Bata Antasari 34,Bata Antasari 34,,,,https://www.instagram.com/tokobatatempel_antasari34?igsh=MWlyOGNubDVsNjBscg==,Jakarta,INSERT_NEW,,List,44,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0037,Batara Living,Batara Living,,,,https://www.instagram.com/bataraliving/,Jakarta,INSERT_NEW,,List,45,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0038,Batavia Living Furniture,Batavia Living Furniture,,,https://www.batavia-living.com/,https://www.instagram.com/batavialivingfurniture,Jakarta,INSERT_NEW,,List,46,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
v0039,BDA Group,BDA Group,,PT Bangun Delta Abadi,https://bdagroup.co.id/,https://www.instagram.com/bdaofficial.id/,Jakarta,INSERT_NEW,,List,47;48;49;50;51,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
